SNO,PIN_Code,State_Name,Lat,Long
1,744112,ANDAMAN & NICOBAR ISLANDS,11.6651,92.7121
2,744102,ANDAMAN & NICOBAR ISLANDS,11.6833,92.7167
3,744101,ANDAMAN & NICOBAR ISLANDS,11.6667,92.75
4,744103,ANDAMAN & NICOBAR ISLANDS,11.7167,92.6167
5,744104,ANDAMAN & NICOBAR ISLANDS,11.6651,92.7121
6,744201,ANDAMAN & NICOBAR ISLANDS,12.7167,92.9
7,744107,ANDAMAN & NICOBAR ISLANDS,11.6651,92.7121
8,744302,ANDAMAN & NICOBAR ISLANDS,9.1833,92.7667
9,744301,ANDAMAN & NICOBAR ISLANDS,9.1167,92.8
10,744202,ANDAMAN & NICOBAR ISLANDS,13.1553,92.8778
11,744105,ANDAMAN & NICOBAR ISLANDS,11.6,92.7333
12,744211,ANDAMAN & NICOBAR ISLANDS,12.1853,92.7718
13,744207,ANDAMAN & NICOBAR ISLANDS,12.6435,92.8794
14,744209,ANDAMAN & NICOBAR ISLANDS,12.6435,92.8794
15,744304,ANDAMAN & NICOBAR ISLANDS,9.1833,92.7667
16,744203,ANDAMAN & NICOBAR ISLANDS,12.6435,92.8794
17,744204,ANDAMAN & NICOBAR ISLANDS,12.6435,92.8794
18,744303,ANDAMAN & NICOBAR ISLANDS,9.1833,92.7667
19,744210,ANDAMAN & NICOBAR ISLANDS,12.1853,92.7718
20,744205,ANDAMAN & NICOBAR ISLANDS,12.503,92.9077
21,744106,ANDAMAN & NICOBAR ISLANDS,11.6588,92.7438
22,744206,ANDAMAN & NICOBAR ISLANDS,11.7167,92.6833
23,518004,ANDHRA PRADESH,15.8944,77.9031
24,518002,ANDHRA PRADESH,14.6574,77.9972
25,518001,ANDHRA PRADESH,15.8276,78.0338
26,518003,ANDHRA PRADESH,15.8072,77.9802
27,518006,ANDHRA PRADESH,14.4521,79.9939
28,518302,ANDHRA PRADESH,15.5163,77.2743
29,518301,ANDHRA PRADESH,15.6279,77.2749
30,518395,ANDHRA PRADESH,15.4646,77.27
31,518347,ANDHRA PRADESH,15.4064,77.4015
32,518348,ANDHRA PRADESH,15.6451,77.2539
33,518333,ANDHRA PRADESH,15.9174,77.0982
34,518346,ANDHRA PRADESH,15.4878,77.0475
35,518308,ANDHRA PRADESH,15.5208,77.1434
36,518350,ANDHRA PRADESH,15.6874,77.4866
37,518344,ANDHRA PRADESH,15.7301,77.2373
38,518385,ANDHRA PRADESH,15.2496,77.4159
39,518345,ANDHRA PRADESH,15.8662,77.4277
40,518343,ANDHRA PRADESH,15.8533,77.4848
41,518396,ANDHRA PRADESH,15.2622,77.2874
42,518380,ANDHRA PRADESH,15.4397,77.5674
43,518323,ANDHRA PRADESH,15.68,77.3105
44,518390,ANDHRA PRADESH,16.542,79.3607
45,518360,ANDHRA PRADESH,15.8053,77.6065
